name_home,pp_home,gs_home,pe_home,name_away,pp_away,gs_away,pe_away,match_date
ARS,72.9,1,1,AVL,27.1,1,1,19/08/2006
BOL,37.8,2,3,TOT,62.2,0,0,19/08/2006
EVE,47,2,3,WAT,53,1,0,19/08/2006
NEW,55.3,2,3,WIG,44.7,1,0,19/08/2006
POR,44.3,3,3,BLB,55.7,0,0,19/08/2006
RDG,52.1,3,3,MID,47.9,2,0,19/08/2006
SHU,41.9,1,1,LIV,58.1,1,1,19/08/2006
WHU,62.4,3,3,CHA,37.6,1,0,19/08/2006
CHE,58.1,3,3,MCI,41.9,0,0,20/08/2006
MUN,65,5,3,FUL,35,1,0,20/08/2006
TOT,56.1,2,3,SHU,43.9,0,0,22/08/2006
WAT,52.5,1,1,WHU,47.5,1,1,22/08/2006
AVL,56.7,2,3,RDG,43.3,1,0,23/08/2006
BLB,47.9,1,1,EVE,52.1,1,1,23/08/2006
CHA,40.7,0,0,MUN,59.3,3,3,23/08/2006
FUL,61.1,1,1,BOL,38.9,1,1,23/08/2006
MCI,53.9,0,1,POR,46.1,0,1,23/08/2006
MID,46.4,2,3,CHE,53.6,1,0,23/08/2006
CHA,42.9,2,3,BOL,57.1,0,0,26/08/2006
FUL,61,1,3,SHU,39,0,0,26/08/2006
LIV,54.7,2,3,WHU,45.3,1,0,26/08/2006
MCI,37.8,1,3,ARS,62.2,0,0,26/08/2006
TOT,56.3,0,0,EVE,43.7,2,3,26/08/2006
WAT,40.5,1,0,MUN,59.5,2,3,26/08/2006
WIG,48.1,1,3,RDG,51.9,0,0,26/08/2006
AVL,45.2,2,3,NEW,54.8,0,0,27/08/2006
BLB,47.8,0,0,CHE,52.2,2,3,27/08/2006
MID,64.2,0,0,POR,35.8,4,3,28/08/2006
ARS,69.2,1,1,MID,30.8,1,1,09/09/2006
BOL,53.8,1,3,WAT,46.2,0,0,09/09/2006
CHE,53.2,2,3,CHA,46.8,1,0,09/09/2006
EVE,43.2,3,3,LIV,56.8,0,0,09/09/2006
MUN,53.5,1,3,TOT,46.5,0,0,09/09/2006
NEW,60.2,1,0,FUL,39.8,2,3,09/09/2006
POR,49.3,1,3,WIG,50.7,0,0,09/09/2006
SHU,40.3,0,1,BLB,59.7,0,1,09/09/2006
WHU,52,1,1,AVL,48,1,1,10/09/2006
RDG,40.5,1,3,MCI,59.5,0,0,11/09/2006
BOL,55.8,0,1,MID,44.2,0,1,16/09/2006
CHA,53.1,0,0,POR,46.9,1,3,16/09/2006
EVE,60.2,2,1,WIG,39.8,2,1,16/09/2006
SHU,52.5,1,0,RDG,47.5,2,3,16/09/2006
WAT,47.6,0,1,AVL,52.4,0,1,16/09/2006
BLB,53.6,4,3,MCI,46.4,2,0,17/09/2006
CHE,54.2,1,3,LIV,45.8,0,0,17/09/2006
MUN,49.4,0,0,ARS,50.6,1,3,17/09/2006
TOT,65.5,0,1,FUL,34.5,0,1,17/09/2006
WHU,52.4,0,0,NEW,47.6,2,3,17/09/2006
LIV,54.8,2,3,NEW,45.2,0,0,20/09/2006
ARS,62.3,3,3,SHU,37.7,0,0,23/09/2006
AVL,57.7,2,3,CHA,42.3,0,0,23/09/2006
FUL,35.5,0,0,CHE,64.5,2,3,23/09/2006
LIV,57.6,3,3,TOT,42.4,0,0,23/09/2006
MCI,47,2,3,WHU,53,0,0,23/09/2006
MID,46.2,0,0,BLB,53.8,1,3,23/09/2006
RDG,29.9,1,1,MUN,70.1,1,1,23/09/2006
WIG,51.2,1,1,WAT,48.8,1,1,23/09/2006
NEW,51,1,1,EVE,49,1,1,24/09/2006
POR,57.7,0,0,BOL,42.3,1,3,25/09/2006
BOL,40.8,2,3,LIV,59.2,0,0,30/09/2006
CHA,34,1,0,ARS,66,2,3,30/09/2006
CHE,34,1,1,AVL,66,1,1,30/09/2006
EVE,52.1,1,1,MCI,47.9,1,1,30/09/2006
SHU,49.8,2,3,MID,50.2,1,0,30/09/2006
BLB,58,2,3,WIG,42,1,0,01/10/2006
MUN,66.4,2,3,NEW,33.6,0,0,01/10/2006
TOT,45.9,2,3,POR,54.1,1,0,01/10/2006
WHU,58.1,0,0,RDG,41.9,1,3,01/10/2006
WAT,44.4,3,1,FUL,55.6,3,1,02/10/2006
ARS,62,3,3,WAT,38,0,0,14/10/2006
AVL,54.1,1,1,TOT,45.9,1,1,14/10/2006
LIV,60.7,1,1,BLB,39.3,1,1,14/10/2006
MCI,57.5,0,1,SHU,42.5,0,1,14/10/2006
MID,57.5,2,3,EVE,42.5,1,0,14/10/2006
POR,42.7,2,3,WHU,57.3,0,0,14/10/2006
RDG,46.2,0,0,CHE,53.8,1,3,14/10/2006
WIG,39.3,1,0,MUN,60.7,3,3,14/10/2006
NEW,55.7,1,0,BOL,44.3,2,3,15/10/2006
FUL,53.1,2,3,CHA,46.9,1,0,16/10/2006
AVL,57,1,1,FUL,43,1,1,21/10/2006
